Feature,Importance
파종,0.0
NDRE_분얼전기,0.0
GNDVI_분얼전,0.0
시비,0.0
GNDVI_분얼전기,0.0
NDVI_개화기,0.0
GNDVI_분얼후기,0.0
NDVI_분얼전,0.0
GNDVI_개화기,0.0
GNDVI_개화후2주,0.0
간장(cm)_개화후4주,0.0
GNDVI_개화후4주,0.0
수장(cm)_개화후2주,0.0
RVI_분얼전,0.0
RVI_분얼후기,0.0
관개,0.0
CVI_개화기,0.0
CVI_분얼전기,0.0
RVI_분얼전기,0.0
RVI_개화후4주,0.0
SPAD_분얼후기,0.0
RVI_개화후2주,0.0
RVI_개화기,0.0
NDVI_분얼후기,5.9943144e-12
NDRE_개화후4주,6.090721e-12
NDRE_분얼후기,6.771404e-12
NDRE_개화기,1.0246364e-11
수장(cm)_개화후4주,1.1636935e-11
유수길이(mm)_분얼후기,4.2708257e-11
CVI_분얼전,4.7726423e-10
수장(cm)_개화기,4.8038434e-10
CVI_분얼후기,3.698767e-09
NDVI_개화후4주,1.2759446e-08
1수영화수_개화기,1.6433683e-08
군집(LAI)_개화후4주,1.7360709e-07
엽록소함량(µmol/m2)_개화기,2.3405185e-07
NDRE_개화후2주,3.1080504e-06
LAI_분얼전기,1.0632474e-05
CVI_개화후4주,1.3587943e-05
간장(cm)_개화기,1.7636225e-05
NDVI_개화후2주,1.8827604e-05
초장(cm)_분얼전기,2.951835e-05
엽록소함량(µmol/m2)_개화후4주,4.626311e-05
NDRE_분얼전,0.0016320195
엽록소함량(µmol/m2)_개화후2주,0.0017923374
LAI_분얼후기,0.0019211887
NDVI_분얼전기,0.0027609998
군집(LAI)_개화기,0.0048522307
CVI_개화후2주,0.009679328
유수길이(mm)_분얼전기,0.012443565
SPAD_분얼전기,0.01736376
초장(cm)_분얼후기,0.081972785
군집(LAI)_개화후2주,0.38683027
간장(cm)_개화후2주,0.47861147
